,MRT,latitude,longitude
111,Geylang Bahru MRT Station,1.32130110228321,103.871622627142
112,Mattar MRT Station,1.32687671501334,103.883247509542
113,Ubi MRT Station,1.3298832504798,103.899082581327
114,Kaki Bukit MRT Station,1.33496735995428,103.908459338046
115,Bedok North MRT Station,1.33474211664091,103.91797832995
116,Bedok Reservoir MRT Station,1.33660782955099,103.932234623286
117,Tampines West MRT Station,1.3456336579777,103.938492495285
118,Tampines East MRT Station,1.35619148271544,103.9546344625
119,Upper Changi MRT Station,1.34173977444995,103.961472788634
120,Woodlands North MRT Station,1.44829245259621,103.785692682441
121,Woodlands South MRT Station,1.42739605281442,103.79326432221
